filePath,country,breedName,health,finalSkill,veterancy,healthRegen,staminaRegen,speed,inventory,tankSkill,vehicleSkill,cannonSkill,tankGunSkill,pistolSkill,smgSkill,mgunSkill,rifleSkill,rocketLskill,melee,commandPower,score,captureWeight
./set/breed/mp\eng\ap_miner.set,eng,eng_ap_miner,150,ap_miner,n/a,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antipersonnel"" 34', '""barbwire_kit""', '""bandage"" 5']",0.8,1,1,n/a,2,3,2,2,1,2,1,1,1
./set/breed/mp\eng\at_miner.set,eng,eng_at_miner,150,at_miner,n/a,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antitank"" 9', '""hedgehog_kit""', '""bandage"" 5']",0.8,1,1,n/a,2,3,2,2,1,3,1,1,1
./set/breed/mp\eng\at_rifle.set,eng,eng_at_rifle,150,at_rifle,n/a,100,100,0.9,"['""boyes"" filled', '""bandage"" 5', '""grenade n73at""', '""ammo ptr"" 50']",0.8,1,1,n/a,2,3,2,4,2,3,1,1.5,1
./set/breed/mp\eng\at_rifle2.set,eng,eng_at_rifleAssist,150,at_rifle,1,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo ptr"" 10']",0.8,1,1,n/a,2,2,2,3,1,3,1,1.5,1
./set/breed/mp\eng\bazooker.set,eng,eng_bazooker,150,bazooker,1,100,100,0.9,"['""weapon piatrocket"" filled', '""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.8,1,1,n/a,2,3,2,2,4,3,1,1.5,1
./set/breed/mp\eng\bazooker2.set,eng,eng_bazookerAssist,150,bazooker,1,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo piatrocket"" 3']",0.8,1,1,n/a,2,3,2,2,4,3,1,1.5,1
./set/breed/mp\eng\elite.set,eng,eng_commando_smg,350,vet_4,elite,100,100,0.9,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1,1,n/a,6,6,6,6,6,6,1,1,1
./set/breed/mp\eng\elite2.set,eng,eng_commando_carbine,350,vet_4,elite,100,100,0.9,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1,1,n/a,6,6,6,6,6,6,1,1,1
./set/breed/mp\eng\elite2_40.set,eng,eng_commando_silenceCarbine,350,vet_4,elite,100,100,0.9,"['""de_lisle"" filled', '""ammo rifle"" 70', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1,1,n/a,6,6,6,6,6,6,1,1,1
./set/breed/mp\eng\elite3.set,eng,eng_commando_brenGunner,350,vet_4,elite,100,100,0.9,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""sandbag_kit"" 1']",0.9,1,1,n/a,6,6,6,6,6,6,1,1,1
./set/breed/mp\eng\elite3_asst.set,eng,eng_commando_brenAssist,350,vet_5,elite,100,100,0.9,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1']",0.9,1,1,n/a,6,6,6,6,6,6,1.25,1.25,1.25
