country,buyName,commandPower,score,captureWeight,cooldown,mp,unlockTime,group,types,c1,c2,c3,c4,c5,c6,c7,c8,c9,newSquadMp,newSquadCp
eng,smgs,6.5,6.5,6.5,3,380.0,0.0,squad_2,squad_with6types,"['squadleader2', '1']","['squadleader_asst', '1']","['rifle2', '3']","['smg2', '3']","['mgun', '1']","['mgun_asst', '1']",['n/a'],['n/a'],['n/a'],555,3.8095
eng,pioneers,12.0,12.0,12.0,4,445.0,0.0,squad_2,squad_with9types,"['pioneer_sl', '1']","['pioneer_flamer', '1']","['pioneer_mg', '1']","['pioneer_at', '1']","['pioneer_rifle1', '1']","['pioneer_rifle2', '1']","['pioneer_rifle3', '4']","['pioneer_rifle4', '1']","['pioneer_rifle5', '1']",445.2400000000001,4.452400000000001
eng,riflemans_can,6.0,6.0,6.0,3,373.0,0.0,squad_3,squad_with4types,"['squadleader_can', '1']","['rifle3', '7']","['mgun2', '1']","['mgun2_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],373.0,3.73
eng,riflemans,8.25,8.25,8.25,3,381.0,0.0,squad_3,squad_with7types,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '4']","['rifle_grenadier', '1']","['mgun', '1']","['mgun_asst', '1']","['rifle_at', '1']",['n/a'],['n/a'],381.7750000000001,3.8177499999999993
eng,riflemans_at,8.5,9.0,8.5,3,381.0,0.0,squad_3,squad_with6types,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '5']","['bazooker', '1']","['mgun', '1']","['mgun_asst', '1']",['n/a'],['n/a'],['n/a'],381.7000000000001,3.8169999999999997
eng,riflemans_scot,12.5,12.5,12.5,3,382.0,0.0,squad_3,squad_with4types,"['squadleader_scot', '1']","['rifle_scot', '7']","['mgun_scot', '1']","['mgun_scot_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],382.15,3.8214999999999995
eng,mech_rifles,8.25,8.25,8.25,3,381.0,72.0,squad_33,squad_with7types_vehicle,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '4']","['rifle_grenadier', '1']","['mgun', '1']","['mgun_asst', '1']","['rifle_at', '1']",['n/a'],['n/a'],381.7750000000001,3.8177499999999993
eng,elites_40,10.75,10.75,10.75,5,587.0,0.0,squad_5,squad_with4types,"['elite_cpl', '1']","['elite_40', '3']","['elite2_40', '4']","['elite3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],587.5250000000002,5.875249999999999
eng,elites,12.0,12.0,12.0,5,588.0,0.0,squad_5,squad_with6types,"['elite_cpl', '1']","['elite_2ic', '1']","['elite', '2']","['elite2', '2']","['elite3', '2']","['elite3_asst', '2']",['n/a'],['n/a'],['n/a'],588.4000000000001,5.8839999999999995
eng,paratroopers,15.5,15.5,15.5,6,639.0,0.0,squad_5,squad_with6types,"['para_cpl', '1']","['para_2ic', '1']","['para2', '3']","['para4', '2']","['para', '2']","['para_mortar', '1']",['n/a'],['n/a'],['n/a'],639.5500000000002,6.395499999999999
