filePath,country,breedName,health,finalSkill,veterancy,healthRegen,staminaRegen,speed,inventory,tankSkill,vehicleSkill,cannonSkill,tankGunSkill,pistolSkill,smgSkill,mgunSkill,rifleSkill,rocketLskill,melee,commandPower,score,captureWeight
./resource/gamelogic/set/breed/mp\eng\ap_miner.set,eng,ap_miner,150,ap_miner,n/a,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antipersonnel"" 34', '""barbwire_kit""', '""bandage"" 5']",0.8,1,1,n/a,2,3,2,2,1,2,1.0,1.00,1.0
./resource/gamelogic/set/breed/mp\eng\at_miner.set,eng,at_miner,150,at_miner,n/a,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antitank"" 9', '""hedgehog_kit""', '""bandage"" 5']",0.8,1,1,n/a,2,3,2,2,1,3,1.0,1.00,1.0
./resource/gamelogic/set/breed/mp\eng\at_rifle.set,eng,at_rifle,150,at_rifle,n/a,100,100,0.9,"['""boyes"" filled', '""bandage"" 5', '""grenade n73at""', '""ammo ptr"" 50']",0.8,1,1,n/a,2,3,2,4,2,3,1.0,1.50,1.0
./resource/gamelogic/set/breed/mp\eng\at_rifle2.set,eng,at_rifle2,150,at_rifle,1,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo ptr"" 10']",0.8,1.0,1.0,n/a,2,2,2,3,1,3,1.0,1.50,1.0
./resource/gamelogic/set/breed/mp\eng\bazooker.set,eng,bazooker,150,bazooker,1,100,100,0.9,"['""weapon piatrocket"" filled', '""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.8,1.0,1.0,n/a,2,3,2,2,4,3,1.0,1.50,1.0
./resource/gamelogic/set/breed/mp\eng\bazooker2.set,eng,bazooker2,150,bazooker,1,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo piatrocket"" 3']",0.8,1.0,1.0,n/a,2,3,2,2,4,3,1.0,1.50,1.0
./resource/gamelogic/set/breed/mp\eng\elite.set,eng,elite,350,vet_4,elite,100,100,0.9,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite2.set,eng,elite2,350,vet_4,elite,100,100,0.9,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite2_40.set,eng,elite2_40,350,vet_4,elite,100,100,0.9,"['""de_lisle"" filled', '""ammo rifle"" 70', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite3.set,eng,elite3,350,vet_4,elite,100,100,0.9,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""sandbag_kit"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite3_asst.set,eng,elite3_asst,350,vet_5,elite,100,100,0.9,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 168', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.25,1.25,1.25
./resource/gamelogic/set/breed/mp\eng\elite4.set,eng,elite4,250,vet_2,1,100,100,0.9,"['""owen_gun"" filled', '""ammo owen_mag"" 132', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,3,4,3,3,3,4,0.50,0.50,0.50
./resource/gamelogic/set/breed/mp\eng\elite5.set,eng,elite5,250,vet_2,1,100,100,0.9,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""mine antitank"" 1', '""sandbag_kit"" 1']",0.9,1.0,1.0,n/a,3,3,3,4,3,4,0.50,0.50,0.50
./resource/gamelogic/set/breed/mp\eng\elite6.set,eng,elite6,250,vet_2,1,100,100,0.9,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""sandbag_kit"" 1']",0.9,1.0,1.0,n/a,3,3,4,3,3,4,0.50,0.50,0.50
./resource/gamelogic/set/breed/mp\eng\elite_2ic.set,eng,elite_2ic,350,vet_7,elite,100,100,0.9,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""n77_smoke grenade"" 1']",0.9,1.0,1.0,n/a,7,7,7,7,7,7,1.75,1.75,1.75
./resource/gamelogic/set/breed/mp\eng\elite_40.set,eng,elite_40,350,vet_4,elite,100,100,0.9,"['""sten_v_silencer"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite_at.set,eng,elite_at,350,vet_4,elite,100,100,0.9,"['""weapon piatrocket"" filled', '""sten"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.9,1.0,1.0,n/a,6,6,6,6,6,6,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\elite_cpl.set,eng,elite_cpl,350,vet_7,elite,100,100,0.9,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""n77_smoke grenade"" 1', '""mine antitank"" 1']",0.9,1.0,1.0,n/a,7,7,7,7,7,7,1.75,1.75,1.75
./resource/gamelogic/set/breed/mp\eng\elite_tankman.set,eng,elite_tankman,100,tankman,n/a,100,100,0.8,"['""webley"" filled', '""ammo webley_clip"" 36', '""bandage"" 3']",1.15,1.15,1,8,4,4,5,2,1,3,0.25,1.2,0.25
./resource/gamelogic/set/breed/mp\eng\elite_tankman2.set,eng,elite_tankman2,150,tankman2,n/a,100,100,0.8,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3']",1.2,1.2,1,10,4,4,7,2,1,3,0.5,2.20,0.5
./resource/gamelogic/set/breed/mp\eng\flamer.set,eng,flamer,150,flamer,n/a,100,100,0.9,"['""flame_thrower""', '""balloon"" filled', '""bandage"" 3']",0.8,1,1,n/a,2,3,2,2,1,3,1.0,1.00,1.0
./resource/gamelogic/set/breed/mp\eng\flamer2.set,eng,flamer2,150,flamer,1,100,100,0.9,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1']",0.8,1.0,1.0,n/a,2,3,2,2,1,3,1.0,1.00,1.0
./resource/gamelogic/set/breed/mp\eng\home_guard.set,eng,home_guard,100,vet_1,1,100,100,0.8,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 3', '""grenade mk1"" 1']",0.6,0.8,0.8,n/a,1,1,1,1,1,2,0.25,0.25,0.25
./resource/gamelogic/set/breed/mp\eng\home_guard2.set,eng,home_guard2,100,vet_1,1,100,100,0.8,"['""sten"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2']",0.6,0.8,0.8,n/a,1,1,1,1,1,2,0.25,0.25,0.25
./resource/gamelogic/set/breed/mp\eng\light_mortar.set,eng,light_mortar,150,vet_3,1,100,100,0.9,"['""mortar_mkvii"" filled', '""ammo mortar50 eng fg"" 6', '""ammo mortar50 eng sm"" 8', '""ammo mortar50 eng wp"" 2', '""bandage"" 3']",0.8,1.0,1.0,n/a,2,2,2,5,1,4,0.75,0.75,0.75
./resource/gamelogic/set/breed/mp\eng\light_mortar2.set,eng,light_mortar2,150,vet_4,1,100,100,0.9,"['""em3"" filled', '""ammo british303_clip"" 50', '""ammo mortar50 eng fg"" 3', '""ammo mortar50 eng sm"" 5', '""ammo mortar50 eng wp"" 2', '""bandage"" 3', '""grenade mk1"" 1', '""sandbag_kit"" 1']",0.8,1.0,1.0,n/a,2,2,2,5,1,4,1.0,1.00,1.00
./resource/gamelogic/set/breed/mp\eng\medic.set,eng,medic,150,n/a,1,100,100,0.9,"['""em3"" filled', '""ammo british303_clip"" 50', '""bandage"" 25', '""morphine"" 1']",0.8,1.0,1.0,n/a,2,2,2,3,1,3,n/a,n/a,n/a
