country,buyName,commandPower,score,captureWeight,cooldown,mp,unlockTime,group,types,c1,c2,c3,c4,c5,c6,c7,c8,c9
eng,smgs,6.5,6.5,6.5,3,380,0,squad_2,squad_with6types,"['squadleader2', '1']","['squadleader_asst', '1']","['rifle2', '3']","['smg2', '3']","['mgun', '1']","['mgun_asst', '1']",['n/a'],['n/a'],['n/a']
eng,pioneers,12.0,12.0,12.0,4,445,0,squad_2,squad_with9types,"['pioneer_sl', '1']","['pioneer_flamer', '1']","['pioneer_mg', '1']","['pioneer_at', '1']","['pioneer_rifle1', '1']","['pioneer_rifle2', '1']","['pioneer_rifle3', '4']","['pioneer_rifle4', '1']","['pioneer_rifle5', '1']"
eng,riflemans_can,6.0,6.0,6.0,3,373,0,squad_3,squad_with4types,"['squadleader_can', '1']","['rifle3', '7']","['mgun2', '1']","['mgun2_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,riflemans,8.25,8.25,8.25,3,381,0,squad_3,squad_with7types,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '4']","['rifle_grenadier', '1']","['mgun', '1']","['mgun_asst', '1']","['rifle_at', '1']",['n/a'],['n/a']
eng,riflemans_at,8.5,9.0,8.5,3,381,0,squad_3,squad_with6types,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '5']","['bazooker', '1']","['mgun', '1']","['mgun_asst', '1']",['n/a'],['n/a'],['n/a']
eng,riflemans_scot,12.5,12.5,12.5,3,382,0,squad_3,squad_with4types,"['squadleader_scot', '1']","['rifle_scot', '7']","['mgun_scot', '1']","['mgun_scot_asst', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,mech_rifles,8.25,8.25,8.25,3,381,72,squad_33,squad_with7types_vehicle,"['squadleader', '1']","['squadleader_asst', '1']","['rifle', '4']","['rifle_grenadier', '1']","['mgun', '1']","['mgun_asst', '1']","['rifle_at', '1']",['n/a'],['n/a']
eng,elites_40,10.75,10.75,10.75,5,587,0,squad_5,squad_with4types,"['elite_cpl', '1']","['elite_40', '3']","['elite2_40', '4']","['elite3', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,elites,12.0,12.0,12.0,5,588,0,squad_5,squad_with6types,"['elite_cpl', '1']","['elite_2ic', '1']","['elite', '2']","['elite2', '2']","['elite3', '2']","['elite3_asst', '2']",['n/a'],['n/a'],['n/a']
eng,paratroopers,15.5,15.5,15.5,6,639,0,squad_5,squad_with6types,"['para_cpl', '1']","['para_2ic', '1']","['para2', '3']","['para4', '2']","['para', '2']","['para_mortar', '1']",['n/a'],['n/a'],['n/a']
eng,stormtroopers,13.5,13.5,13.5,6,642,0,squad_5,squad_with7types,"['sturmovik_cpl', '1']","['sturmovik_2ic', '1']","['sturmovik3', '1']","['sturmovik4', '1']","['sturmovik6', '2']","['sturmovik6b', '2']","['sturmovik4b', '2']",['n/a'],['n/a']
eng,paratroopers_drop,15.5,15.5,15.5,6,639,0,squad_5,squad_with6types_vehicle,"['para_cpl', '1']","['para_2ic', '1']","['para2', '3']","['para4', '2']","['para', '2']","['para_mortar', '1']",['n/a'],['n/a'],['n/a']
eng,stormtroopers_drop,13.5,13.5,13.5,6,642,0,squad_5,squad_with7types_vehicle,"['sturmovik_cpl', '1']","['sturmovik_2ic', '1']","['sturmovik3', '1']","['sturmovik4', '1']","['sturmovik6', '2']","['sturmovik6b', '2']","['sturmovik4b', '2']",['n/a'],['n/a']
eng,ap_miners,4.0,4.0,4.0,1,147,1,squad_7,squad_with1types,"['ap_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,at_miners,4.0,4.0,4.0,1,147,1,squad_8,squad_with1types,"['at_miner', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,sappers,2.0,2.0,2.0,0,73,0,squad_9,squad_with1types,"['saper', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,vehic_supporter,1.0,4.0,0.5,0,75,0,soldier_3,squad_with1types,"['vehicle_supporter', '2']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,tankmans,1.5,7.0,1.5,1,165,2,soldier_3,squad_with2types,"['tankman2', '1']","['tankman', '4']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,elite_tankmans,0.5,2.2,0.5,0,37,0,soldier_3,squad_with1types,"['vet_tankman2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,riflemans2,0.75,0.75,0.75,0,36,0,soldier_1,squad_with1types,"['rifle', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,smgs2,0.75,0.75,0.75,0,36,0,soldier_2,squad_with1types,"['smg', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
eng,at_rifles,2.0,3.0,2.0,0,74,0,soldier_4,squad_with2types,"['at_rifle', '1']","['at_rifle2', '1']",['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a'],['n/a']
