filePath,country,breedName,health,finalSkill,veterancy,healthRegen,staminaRegen,speed,inventory,tankSkill,vehicleSkill,cannonSkill,tankGunSkill,pistolSkill,smgSkill,mgunSkill,rifleSkill,rocketLskill,melee,commandPower,score,captureWeight,newMp,newCp
./resource/gamelogic/set/breed/mp\eng\ap_miner.set,eng,ap_miner,0.15,ap_miner,,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antipersonnel"" 34', '""barbwire_kit""', '""bandage"" 5']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.002,0.001,0.001,0.001,36.77000000000002,0.3677
./resource/gamelogic/set/breed/mp\eng\at_miner.set,eng,at_miner,0.15,at_miner,,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""mine antitank"" 9', '""hedgehog_kit""', '""bandage"" 5']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,1,0.003,0.001,0.001,0.001,36.87000000000001,0.3687
./resource/gamelogic/set/breed/mp\eng\at_rifle.set,eng,at_rifle,0.15,at_rifle,,0.1,0.1,0.0009,"['""boyes"" filled', '""bandage"" 5', '""grenade n73at""', '""ammo ptr"" 50']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.004,2,0.003,0.001,0.0015,0.001,37.120000000000005,0.37120000000000003
./resource/gamelogic/set/breed/mp\eng\at_rifle2.set,eng,at_rifle2,0.15,at_rifle,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo ptr"" 10']",0.0008,0.001,0.001,0.0,0.002,0.002,0.002,0.003,1,0.003,0.001,0.0015,0.001,36.92000000000001,0.36920000000000003
./resource/gamelogic/set/breed/mp\eng\bazooker.set,eng,bazooker,0.15,bazooker,1,0.1,0.1,0.0009,"['""weapon piatrocket"" filled', '""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade n73at"" 1', '""ammo piatrocket"" 7']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,4,0.003,0.001,0.0015,0.001,36.92000000000001,0.36920000000000003
./resource/gamelogic/set/breed/mp\eng\bazooker2.set,eng,bazooker2,0.15,bazooker,1,0.1,0.1,0.0009,"['""sten_mk2"" filled', '""ammo sten_mag"" 128', '""bandage"" 3', '""grenade mk1"" 2', '""grenade n73at"" 1', '""smoke grenade"" 1', '""ammo piatrocket"" 3']",0.0008,0.001,0.001,0.0,0.002,0.003,0.002,0.002,4,0.003,0.001,0.0015,0.001,36.92000000000001,0.36920000000000003
./resource/gamelogic/set/breed/mp\eng\elite.set,eng,elite,0.35,vet_4,elite,0.1,0.1,0.0009,"['""sten_v"" filled', '""ammo sten_mag"" 128', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
./resource/gamelogic/set/breed/mp\eng\elite2.set,eng,elite2,0.35,vet_4,elite,0.1,0.1,0.0009,"['""em3_vet"" filled', '""ammo british303_clip"" 50', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
./resource/gamelogic/set/breed/mp\eng\elite2_40.set,eng,elite2_40,0.35,vet_4,elite,0.1,0.1,0.0009,"['""de_lisle"" filled', '""ammo rifle"" 70', '""ammo bren_mag"" 56', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""n77_smoke grenade"" 0 1', '""smoke grenade"" 1', '""mine antitank"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
./resource/gamelogic/set/breed/mp\eng\elite3.set,eng,elite3,0.35,vet_4,elite,0.1,0.1,0.0009,"['""bren"" filled', '""ammo bren_mag"" 224', '""bandage"" 5', '""grenade mk1"" 2', '""grenade n73at"" 1', '""sandbag_kit"" 1']",0.0009,0.001,0.001,0.0,0.006,0.006,0.006,0.006,6,0.006,0.001,0.001,0.001,58.68000000000002,0.5868
