veterancyName,captureWeight,commandPower,score
tankman,0.25,0.25,1.2
tankman2,0.5,0.5,2.20
vehicle_supporter,0.25,0.50,2.00
vet_1,0.25,0.25,0.25
vet_2,0.50,0.50,0.50
vet_3,0.75,0.75,0.75
vet_4,1.00,1.0,1.00
vet_5,1.25,1.25,1.25
vet_6,1.50,1.50,1.50
vet_7,1.75,1.75,1.75
vet_8,2.00,2.00,2.00
vet_9,2.25,2.25,2.25
vet_10,2.50,2.50,2.50
shotgun,1.0,1.5,1.50
saper,1.0,1.0,1.00
ap_miner,1.0,1.0,1.00
at_miner,1.0,1.0,1.00
elite,3.0,2.0,1.40
elite_lowcp,3.0,0.25,1.25
sturmovik,5.0,2.5,2.15
flamer,1.0,1.0,1.00
sniper,2.0,5.0,8.00
scout,2.0,3.0,8.00
radioman,1.0,5.0,20.00
oficer,10.0,-10.0,20.00
oficer_vet,15.0,-12.0,25.00
oficer_armor,10.0,-40.0,10.00
bazooker,1.0,1.0,1.50
at_rifle,1.0,1.0,1.50
kamikaze,0.25,1.0,0.50
